Unique ID,Response Duration,Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided.","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.",OE_Quality_Flag
3,10.0,the packaging,nothing,Unanswered,Unanswered,Unanswered,0
5,13.0,It's a good and trusted brand.,It's seem some what generic.,Heineken,Miller Lite,Budwieser,0
6,10.0,Just that it is a lager beer,I don't like Anheiser Busch and their values and do not purchase their products,Unanswered,Unanswered,Unanswered,0
8,10.0,has a less filling effect,no dislike,michelob ultra,Miller light,corona,0
10,12.0,Everything,Nothing,Coors light,Bud,Coors,0
11,14.0,Appealing label,Price,Unanswered,Unanswered,Unanswered,0
12,10.0,A light beer upgraded with better taste,Nothing,Local craft beer,Sam adams,Coors light,0
13,24.0,"This product is completely ""Golden"" as it has been named!",I do not dislike anything about this product.,Miller Lite,Budweiser,Modelo,0
14,19.0,Looks like.it might be a good tasting beer,Nothing i saw,Budwiser,Heineken,Corona,0
16,10.0,I mean it's beer so that's good but really I don't drink that brand,No complaints from me,Unanswered,Unanswered,Unanswered,0
17,11.0,less calories,not enough abv% and too $,Unanswered,Unanswered,Unanswered,0
18,15.0,That it has a nice smooth flavor,Can't think of anything,Corona,Smirnoff ice,Mike's hard lemonade,0
19,18.0,Taste was good,Unanswered,MGD,Miller lite,Budweiser,1
21,10.0,Its flavor is what I like. It is light but still with a full body.,It is not often enough on sale but this is not about the quality.,Dos Equis,Lagunitas,Sierra Nevada,0
23,17.0,"I like the lower calories. I like a light tasting, refreshing beer.",The organic claim is weak. It has been proven that organic is no better than non-organic.,Bud Light,Chelado,Modelo,0
24,10.0,I wouldn't want it,Low alcohol content,Unanswered,Unanswered,Unanswered,0
26,48.0,Low calorie and good taste,Not sure what replaced the carbs,Unanswered,Unanswered,Unanswered,0
29,11.0,IT HAS A CRISP TASTE,NOTHING,Unanswered,Unanswered,Unanswered,0
31,15.0,I like the carb and calorie count,I did not see anything that looks unappealing.,Unanswered,Unanswered,Unanswered,0
32,12.0,"I love the design and how it comes with sustainability and the likes,I love how the description is easy to understand and comprehend too.
great concept with the design!",I do not dislike anything about this concept.,Budweiser,Heineken,bud light,0
35,7.0,Everything about it,Nothing,Budweiser,Bud light,Coors,0
36,15.0,That it is organic and low-cal,It's a little expensive.,Unanswered,Unanswered,Unanswered,0
37,32.0,like that is a light beer,nothing,coors light,blue moon,miller,0
40,12.0,I like the colors in the packaging and the packaging on the bottle.,There was nothing,Miller Lite,Unanswered,Unanswered,0
42,20.0,The smooth taste.,Unanswered,Michelob,Chelando,Yuengling,0
43,10.0,Less calories,Light beers are usually light in flavor,Bidweiser,Unanswered,Unanswered,0
45,20.0,the calorie count,I think it might be too light tasting,Unanswered,Unanswered,Unanswered,0
47,10.0,No,Dislike,Unanswered,Unanswered,Unanswered,1
49,22.0,I love their service.It is so good.,Nothing is dislikeable,Herrfood,Lactalis,ARS,0
50,12.0,premium light beer with lower ABV,I dont dislike anything,heineken,corona,high noon,1
52,10.0,Looks different,Nothing,Unanswered,Unanswered,Unanswered,0
55,10.0,great tasting,nothing,Unanswered,Unanswered,Unanswered,0
56,15.0,"That it’s certified organic and also a light beer, two very original ideas for a beer.","Probably that it’s Michelob and I grew up with Coors, Bud and Mx beer in my house.",Unanswered,Unanswered,Unanswered,1
57,6.0,its very refreshing,nothing,great,large,good,0
59,27.0,"Its a light beer, refreshing, not filling.",I'm concerned with the taste.,Unanswered,Unanswered,Unanswered,0
61,18.0,I like everything about it.,Nothing I dislike about it.,Miller Lite,Heineken,Corona light,0
62,16.0,Everything the color rich taste,Nothing,Bud light,Michelada,Coors light,0
64,8.0,The smooth taste,I don't like the aftertaste,Heineken,Corona,Bud West,0
65,11.0,That it is organic and a light beer.,Price would like more if the price was a dollar cheaper.,Unanswered,Unanswered,Unanswered,0
66,6.0,I liked everything about this product,Nothing to not like,Cool,Tasty,Refreshing,0
69,10.0,The taste it's the most important for me,Anything,Corona,Budweiser,Tecate,0
71,6.0,Nothing I never tried,No comment,Unanswered,Unanswered,Unanswered,0
73,14.0,the taste would be desirable,1/3 less alcohol than light beer. Why drink it?,Unanswered,Unanswered,Unanswered,0
